candidate_id,tile_id,mask_index,score,source_tags,bbox_xyxy,local_bbox_xyxy,area,aspect,fill,circularity,expected_instances,instance_count,old_cluster_class,old_cluster_reason,mask_file
0,r2_c4,233,6.226510631213943,double_area_like|elongated_double_like|old_cluster_candidate|old_cluster_explained|two_instance_hint,"[895,453,904,468]","[42,111,51,126]",89.0,1.6666666666666667,0.6592592592592592,0.4854196982109229,2.0,2.0,ball_cluster,ball_cluster_explained,/mnt/csip-500/share/kongjiawei/Sa2VA-main/sam_ball_segmentation_project/demo/a86387bac9e4ab20fe9391a400b9e219_sam_auto_split36_upscale/a86387bac9e4ab20fe9391a400b9e219_sam_auto_masks/r2_c4_mask_0233.png
1,r3_c1,232,6.226510631213943,double_area_like|elongated_double_like|old_cluster_candidate|old_cluster_explained|two_instance_hint,"[269,649,278,664]","[56,136,65,151]",89.0,1.6666666666666667,0.6592592592592592,0.4854196982109229,2.0,2.0,ball_cluster,ball_cluster_explained,/mnt/csip-500/share/kongjiawei/Sa2VA-main/sam_ball_segmentation_project/demo/a86387bac9e4ab20fe9391a400b9e219_sam_auto_split36_upscale/a86387bac9e4ab20fe9391a400b9e219_sam_auto_masks/r3_c1_mask_0232.png
2,r2_c0,183,6.221018461719971,double_area_like|elongated_double_like|old_cluster_candidate|old_cluster_explained|two_instance_hint,"[99,367,108,382]","[99,25,108,40]",88.0,1.6666666666666667,0.6518518518518519,0.4423362456254428,2.0,2.0,ball_cluster,ball_cluster_explained,/mnt/csip-500/share/kongjiawei/Sa2VA-main/sam_ball_segmentation_project/demo/a86387bac9e4ab20fe9391a400b9e219_sam_auto_split36_upscale/a86387bac9e4ab20fe9391a400b9e219_sam_auto_masks/r2_c0_mask_0183.png
3,r2_c5,152,6.192682271800843,double_area_like|elongated_double_like|old_cluster_candidate|old_cluster_explained|two_instance_hint,"[1237,342,1252,351]","[170,0,185,9]",89.0,1.6666666666666667,0.6592592592592592,0.44736279387118655,2.0,2.0,ball_cluster,ball_cluster_explained,/mnt/csip-500/share/kongjiawei/Sa2VA-main/sam_ball_segmentation_project/demo/a86387bac9e4ab20fe9391a400b9e219_sam_auto_split36_upscale/a86387bac9e4ab20fe9391a400b9e219_sam_auto_masks/r2_c5_mask_0152.png
4,r3_c4,101,6.174004661649572,double_area_like|elongated_double_like|old_cluster_candidate|old_cluster_explained|two_instance_hint,"[992,518,1001,532]","[139,5,148,19]",88.0,1.5555555555555556,0.6984126984126984,0.5226089858523663,2.0,2.0,ball_cluster,ball_cluster_explained,/mnt/csip-500/share/kongjiawei/Sa2VA-main/sam_ball_segmentation_project/demo/a86387bac9e4ab20fe9391a400b9e219_sam_auto_split36_upscale/a86387bac9e4ab20fe9391a400b9e219_sam_auto_masks/r3_c4_mask_0101.png
5,r3_c2,192,6.17269369814402,double_area_like|elongated_double_like|old_cluster_candidate|old_cluster_explained|two_instance_hint,"[540,640,549,655]","[113,127,122,142]",85.0,1.6666666666666667,0.6296296296296297,0.4272566008882119,2.0,2.0,ball_cluster,ball_cluster_explained,/mnt/csip-500/share/kongjiawei/Sa2VA-main/sam_ball_segmentation_project/demo/a86387bac9e4ab20fe9391a400b9e219_sam_auto_split36_upscale/a86387bac9e4ab20fe9391a400b9e219_sam_auto_masks/r3_c2_mask_0192.png
6,r3_c1,330,6.157841429263101,double_area_like|elongated_double_like|old_cluster_candidate|old_cluster_explained|two_instance_hint,"[343,544,352,558]","[130,31,139,45]",87.0,1.5555555555555556,0.6904761904761905,0.5166702473767713,2.0,2.0,ball_cluster,ball_cluster_explained,/mnt/csip-500/share/kongjiawei/Sa2VA-main/sam_ball_segmentation_project/demo/a86387bac9e4ab20fe9391a400b9e219_sam_auto_split36_upscale/a86387bac9e4ab20fe9391a400b9e219_sam_auto_masks/r3_c1_mask_0330.png
7,r0_c4,345,6.149454991797624,double_area_like|elongated_double_like|old_cluster_candidate|old_cluster_explained|two_instance_hint,"[981,113,990,128]","[128,113,137,128]",87.0,1.6666666666666667,0.6444444444444445,0.37492258005804113,2.0,2.0,ball_cluster,ball_cluster_explained,/mnt/csip-500/share/kongjiawei/Sa2VA-main/sam_ball_segmentation_project/demo/a86387bac9e4ab20fe9391a400b9e219_sam_auto_split36_upscale/a86387bac9e4ab20fe9391a400b9e219_sam_auto_masks/r0_c4_mask_0345.png
8,r0_c4,377,6.145723449591597,double_area_like|elongated_double_like|old_cluster_candidate|old_cluster_explained|two_instance_hint,"[910,69,919,83]","[57,69,66,83]",89.0,1.5555555555555556,0.7063492063492064,0.5285477243279615,2.0,3.0,ball_cluster,ball_cluster_explained,/mnt/csip-500/share/kongjiawei/Sa2VA-main/sam_ball_segmentation_project/demo/a86387bac9e4ab20fe9391a400b9e219_sam_auto_split36_upscale/a86387bac9e4ab20fe9391a400b9e219_sam_auto_masks/r0_c4_mask_0377.png
9,r2_c3,43,6.145723449591597,double_area_like|elongated_double_like|old_cluster_candidate|old_cluster_explained|two_instance_hint,"[731,456,740,470]","[91,114,100,128]",89.0,1.5555555555555556,0.7063492063492064,0.5285477243279615,2.0,2.0,ball_cluster,ball_cluster_explained,/mnt/csip-500/share/kongjiawei/Sa2VA-main/sam_ball_segmentation_project/demo/a86387bac9e4ab20fe9391a400b9e219_sam_auto_split36_upscale/a86387bac9e4ab20fe9391a400b9e219_sam_auto_masks/r2_c3_mask_0043.png
