candidate_id,sample,tile_id,mask_index,pred_label,area,bbox_xyxy,mask_bbox_xyxy,upscaled_bbox_xyxy,tile_box_xyxy,selection_rule,shape_extent,shape_aspect,mask_intensity_mean
10000,3,r2_c1,109,interference,127.0,"[608, 1001, 624, 1019]","[181, 317, 197, 335]","[545, 950, 592, 1006]","[427, 684, 853, 1026]",area_shape_interference,0.4409722222222222,0.8888888888888888,185.50393676757812
10001,1,r0_c1,286,double_ball_cluster,359.0,"[627, 60, 644, 90]","[200, 60, 217, 90]","[600, 180, 651, 270]","[427, 0, 853, 342]",area_shape_double_ball_cluster,0.703921568627451,0.5666666666666667,132.62673950195312
10002,2,r2_c0,376,shadow_double_ball_cluster,349.0,"[40, 822, 58, 851]","[40, 138, 58, 167]","[121, 413, 173, 500]","[0, 684, 427, 1026]",area_shape_shadow_double_ball_cluster,0.6685823754789272,0.6206896551724138,119.36103057861328
10003,1,r2_c1,59,shadow_double_ball_cluster,362.0,"[517, 758, 538, 784]","[90, 74, 111, 100]","[271, 221, 333, 299]","[427, 684, 853, 1026]",area_shape_shadow_double_ball_cluster,0.663003663003663,0.8076923076923077,119.83978271484375
10004,5,r2_c2,104,real_ball,164.0,"[1166, 741, 1181, 756]","[313, 57, 328, 72]","[939, 172, 984, 216]","[853, 684, 1280, 1026]",area_shape_real_ball,0.7288888888888889,1.0,131.9146270751953
10005,3,r1_c1,249,double_ball_cluster,390.0,"[765, 634, 794, 653]","[338, 292, 367, 311]","[1017, 875, 1104, 932]","[427, 342, 853, 684]",area_shape_double_ball_cluster,0.7078039927404719,0.6551724137931034,124.11538696289062
10006,3,r0_c0,234,real_ball,177.0,"[235, 191, 250, 206]","[235, 191, 250, 206]","[704, 573, 750, 619]","[0, 0, 427, 342]",area_shape_real_ball,0.7866666666666666,1.0,131.23728942871094
10007,4,r2_c1,261,interference,53.0,"[748, 902, 754, 913]","[321, 218, 327, 229]","[966, 653, 984, 687]","[427, 684, 853, 1026]",area_shape_interference,0.803030303030303,0.5454545454545454,110.35848999023438
10008,2,r2_c1,169,interference,127.0,"[608, 1001, 624, 1019]","[181, 317, 197, 335]","[545, 950, 592, 1006]","[427, 684, 853, 1026]",area_shape_interference,0.4409722222222222,0.8888888888888888,185.50393676757812
10009,4,r1_c2,326,single_ball_background_mixed,395.0,"[858, 480, 903, 508]","[5, 138, 50, 166]","[16, 415, 149, 499]","[853, 342, 1280, 684]",area_shape_single_ball_background_mixed,0.3134920634920635,0.6222222222222222,126.1341781616211
10010,4,r0_c1,68,real_ball,178.0,"[458, 241, 473, 256]","[31, 241, 46, 256]","[94, 723, 137, 769]","[427, 0, 853, 342]",area_shape_real_ball,0.7911111111111111,1.0,129.494384765625
10011,4,r0_c1,293,single_ball_background_mixed,424.0,"[506, 106, 524, 140]","[79, 106, 97, 140]","[237, 317, 291, 422]","[427, 0, 853, 342]",area_shape_single_ball_background_mixed,0.6928104575163399,0.5294117647058824,131.007080078125
10012,2,r1_c2,232,shadow_ball,178.0,"[1185, 435, 1200, 450]","[332, 93, 347, 108]","[994, 278, 1040, 323]","[853, 342, 1280, 684]",area_shape_shadow_ball,0.7911111111111111,1.0,116.02246856689453
10013,2,r0_c0,354,shadow_double_ball_cluster,282.0,"[65, 11, 83, 31]","[65, 11, 83, 31]","[195, 34, 249, 94]","[0, 0, 427, 342]",area_shape_shadow_double_ball_cluster,0.7833333333333333,0.9,88.71630859375
10014,4,r1_c1,330,shadow_double_ball_cluster,273.0,"[652, 567, 666, 591]","[225, 225, 239, 249]","[675, 675, 718, 748]","[427, 342, 853, 684]",area_shape_shadow_double_ball_cluster,0.8125,0.5833333333333334,106.5091552734375
10015,3,r1_c2,398,single_ball_background_mixed,329.0,"[923, 505, 947, 530]","[70, 163, 94, 188]","[211, 489, 282, 565]","[853, 342, 1280, 684]",area_shape_single_ball_background_mixed,0.5483333333333333,0.96,120.49240112304688
