candidate_id,tile_id,mask_index,label,note,selection_rule,bbox_xyxy,local_bbox_xyxy,tile_box_xyxy,area,sam_score
0,r2_c4,233,interference,,double_ball_cluster_candidate_sampling,"[895,453,904,468]","[42,111,51,126]","[853,342,1067,513]",89,0.9217875003814697
1,r3_c1,232,interference,,double_ball_cluster_candidate_sampling,"[269,649,278,664]","[56,136,65,151]","[213,513,427,684]",89,0.9460299015045166
2,r2_c0,183,interference,,double_ball_cluster_candidate_sampling,"[99,367,108,382]","[99,25,108,40]","[0,342,213,513]",88,0.9449082612991333
3,r2_c5,152,interference,,double_ball_cluster_candidate_sampling,"[1237,342,1252,351]","[170,0,185,9]","[1067,342,1280,513]",89,0.945669412612915
4,r3_c4,101,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[992,518,1001,532]","[139,5,148,19]","[853,513,1067,684]",88,0.9590383768081665
5,r3_c2,192,interference,,double_ball_cluster_candidate_sampling,"[540,640,549,655]","[113,127,122,142]","[427,513,640,684]",85,0.9528990983963013
6,r3_c1,330,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[343,544,352,558]","[130,31,139,45]","[213,513,427,684]",87,0.9186201095581055
7,r0_c4,345,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[981,113,990,128]","[128,113,137,128]","[853,0,1067,171]",87,0.9184547662734985
8,r0_c4,377,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[910,69,919,83]","[57,69,66,83]","[853,0,1067,171]",89,0.9071975946426392
9,r2_c3,43,interference,,double_ball_cluster_candidate_sampling,"[731,456,740,470]","[91,114,100,128]","[640,342,853,513]",89,0.9705684781074524
10,r1_c1,188,interference,,double_ball_cluster_candidate_sampling,"[232,194,248,203]","[19,23,35,32]","[213,171,427,342]",87,0.9374322891235352
11,r1_c3,214,interference,,double_ball_cluster_candidate_sampling,"[734,269,743,283]","[94,98,103,112]","[640,171,853,342]",85,0.9044314026832581
12,r2_c1,362,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[259,475,268,489]","[46,133,55,147]","[213,342,427,513]",85,0.8982628583908081
13,r3_c1,304,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[392,631,406,640]","[179,118,193,127]","[213,513,427,684]",87,0.9277901649475098
14,r2_c1,331,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[378,473,387,488]","[165,131,174,146]","[213,342,427,513]",85,0.914577841758728
15,r3_c1,271,interference,,double_ball_cluster_candidate_sampling,"[343,602,352,616]","[130,89,139,103]","[213,513,427,684]",90,0.9383118748664856
16,r4_c1,189,interference,,double_ball_cluster_candidate_sampling,"[295,795,309,805]","[82,111,96,121]","[213,684,427,855]",87,0.9353678226470947
17,r3_c3,163,interference,,double_ball_cluster_candidate_sampling,"[777,626,791,635]","[137,113,151,122]","[640,513,853,684]",84,0.9532558917999268
18,r5_c5,119,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[1200,922,1209,936]","[133,67,142,81]","[1067,855,1280,1026]",86,0.9464465379714966
